Resort,Zip,Station,Station ID,Years,Visits,Average Snow Depth,Average High Temp,Average Low Temp,Average Median Temp
Red Lodge,59068,USS0009D16S,342,2016-2017,"82,498",27,32.90909091,17.50413223,25.31404959
Red Lodge,59068,USS0009D16S,342,2017-2018,"92,837",35,33.59504132,17.00826446,25.26446281
Red Lodge,59068,USS0009D16S,342,2018-2019,"95,775",38,31.95867769,15.76033058,23.74380165
Red Lodge,59068,USS0009D16S,342,2019-2020,"83,892",39,33.91803279,19.275,26.45901639
Red Lodge,59068,USS0009D16S,342,2020-2021,"90,232",28,33.43801653,19.00826446,25.90909091
Showdown,59465,USS0010C09S,252,1988-1989,"46,013",,,,6.487603306
Showdown,59465,USS0010C09S,252,1989-1990,"58,973",,,,8.694214876
Showdown,59465,USS0010C09S,252,1990-1991,"45,094",,,,11.56637168
Showdown,59465,USS0010C09S,252,1991-1992,"50,885",,19.45081967,38.7704918,5.549180328
Showdown,59465,USS0010C09S,252,1992-1993,"52,046",,14.8677686,29.34710744,1.462809917
Showdown,59465,USS0010C09S,252,1993-1994,"59,152",,19.77358491,31.26415094,7.764150943
Showdown,59465,USS0010C09S,252,1994-1995,"51,682",,18.39669421,32.87603306,6.355371901
Showdown,59465,USS0010C09S,252,1995-1996,"52,555",,15.09836066,28.64754098,2.459016393
Showdown,59465,USS0010C09S,252,1996-1997,"47,776",,17.44628099,29.76033058,4.752066116
Showdown,59465,USS0010C09S,252,1997-1998,"41,112",,17.44628099,32.79338843,3.611570248
Showdown,59465,USS0010C09S,252,1998-1999,"49,460",,23.31404959,34,11.11570248
Showdown,59465,USS0010C09S,252,1999-2000,"55,001",,23.81147541,35.6147541,11.07377049
Showdown,59465,USS0010C09S,252,2000-2001,"53,104",,20.2231405,33.80991736,6.090909091
Showdown,59465,USS0010C09S,252,2001-2002,"43,537",,19.23966942,30.85123967,6.462809917
Showdown,59465,USS0010C09S,252,2002-2003,"34,824",,23.50413223,34.63636364,12
Showdown,59465,USS0010C09S,252,2003-2004,"43,232",28.73770492,23.39344262,35.18032787,11.27868852
Showdown,59465,USS0010C09S,252,2004-2005,"38,186",19.34710744,23.38016529,36.91735537,11.25619835
Showdown,59465,USS0010C09S,252,2005-2006,"48,383",33.3553719,21.14876033,34.33884298,7.760330579
Showdown,59465,USS0010C09S,252,2006-2007,"41,369",19.90082645,22.8677686,35.79338843,10.85123967
Showdown,59465,USS0010C09S,252,2007-2008,"43,400",28.06557377,19.98360656,31.70491803,7.303278689
Showdown,59465,USS0010C09S,252,2008-2009,"41,020",27.47107438,19.24793388,32.61157025,6.355371901
Showdown,59465,USS0010C09S,252,2009-2010,"47,160",25.66115702,20.74380165,34.56198347,7.752066116
Showdown,59465,USS0010C09S,252,2010-2011,"42,615",33.51239669,21.14876033,32.6446281,9.371900826
Showdown,59465,USS0010C09S,252,2011-2012,"44,619",26.95901639,24.43442623,36.02459016,12.03278689
Showdown,59465,USS0010C09S,252,2012-2013,"43,657",24.47933884,22.71900826,33.96694215,10.12396694
Showdown,59465,USS0010C09S,252,2013-2014,"44,992",37.94214876,19.52892562,30.96694215,6.702479339
Showdown,59465,USS0010C09S,252,2014-2015,"40,207",26.53719008,25.80165289,38.76033058,13.65289256
Showdown,59465,USS0010C09S,252,2015-2016,"42,141",23.46721311,25.40983607,37.08196721,13.95901639
Showdown,59465,USS0010C09S,252,2016-2017,"31,931",16.43801653,20.90909091,32.97520661,8.611570248
Showdown,59465,USS0010C09S,252,2017-2018,"43,246",30.78512397,20.43801653,32.85123967,7.884297521
Showdown,59465,USS0010C09S,252,2018-2019,"45,173",28.2892562,18.19834711,32.58677686,5.05785124
Showdown,59465,USS0010C09S,252,2019-2020,"39,347",28.66393443,23.59836066,34.40983607,11.14754098
Showdown,59465,USS0010C09S,252,2020-2021,"46,014",23.97520661,21.38016529,34.54545455,9.20661157
Snowbowl,59808,USS0015C10S,161,1988-1989,"50,009",,26.33057851,15.02479339,20.12396694
Snowbowl,59808,USS0015C10S,161,1989-1990,"37,200",,29.1322314,17.73553719,23
Snowbowl,59808,USS0015C10S,161,1990-1991,"46,672",,26,14.52066116,19.80165289
Snowbowl,59808,USS0015C10S,161,1991-1992,"47,121",,34.8852459,22.6557377,27.94262295
Snowbowl,59808,USS0015C10S,161,1992-1993,"55,106",,26.56198347,14.05785124,19.74380165
Snowbowl,59808,USS0015C10S,161,1993-1994,"44,608",,30.27102804,19.06542056,24.18691589
Snowbowl,59808,USS0015C10S,161,1994-1995,"45,900",,28.99173554,18.19008264,23.1322314
Snowbowl,59808,USS0015C10S,161,1995-1996,"47,421",,28.8442623,14.98360656,21.6147541
Snowbowl,59808,USS0015C10S,161,1996-1997,"62,347",,27.04132231,16.37190083,21.47933884
Snowbowl,59808,USS0015C10S,161,1997-1998,"47,059",,29.15702479,18.31404959,23.29752066
Snowbowl,59808,USS0015C10S,161,1998-1999,"66,060",,29.95867769,20.70247934,25.12396694
Snowbowl,59808,USS0015C10S,161,1999-2000,"64,768",,31.39344262,22.62295082,26.69672131
Snowbowl,59808,USS0015C10S,161,2000-2001,"58,050",,30.92561983,20.46280992,25.52892562
Snowbowl,59808,USS0015C10S,161,2001-2002,"68,832",,28.63636364,19.04958678,23.62809917
Snowbowl,59808,USS0015C10S,161,2002-2003,"54,027",69,32.85950413,23.75206612,27.85123967
