Date,24 hr New Snow,Season Snowfall Total,Base Depth
27-Jan-13,10 cm,78 cm,117 cm
28-Jan-13,15 cm,93 cm,122 cm
29-Jan-13,8 cm,101 cm,135 cm
30-Jan-13,10 cm,111 cm,137 cm
31-Jan-13,36 cm,147 cm,150 cm
1-Feb-13,18 cm,165 cm,157 cm
2-Feb-13,8 cm,173 cm,157 cm
5-Feb-13,3 cm,176 cm,145 cm
7-Feb-13,3 cm,179 cm,137 cm
9-Feb-13,5 cm,184 cm,140 cm
10-Feb-13,5 cm,189 cm,140 cm
13-Feb-13,20 cm,209 cm,132 cm
14-Feb-13,23 cm,232 cm,147 cm
15-Feb-13,5 cm,237 cm,152 cm
18-Feb-13,15 cm,252 cm,137 cm
21-Feb-13,3 cm,255 cm,137 cm
22-Feb-13,3 cm,258 cm,137 cm
23-Feb-13,23 cm,281 cm,142 cm
24-Feb-13,18 cm,299 cm,152 cm
26-Feb-13,5 cm,304 cm,157 cm
1-Mar-13,18 cm,322 cm,155 cm
2-Mar-13,3 cm,325 cm,155 cm
3-Mar-13,8 cm,333 cm,155 cm
4-Mar-13,18 cm,351 cm,155 cm
7-Mar-13,15 cm,366 cm,163 cm
8-Mar-13,3 cm,369 cm,160 cm
9-Mar-13,3 cm,372 cm,155 cm
11-Mar-13,3 cm,375 cm,157 cm
12-Mar-13,10 cm,385 cm,152 cm
17-Mar-13,13 cm,398 cm,145 cm
18-Mar-13,5 cm,403 cm,152 cm
19-Mar-13,10 cm,413 cm,155 cm
21-Mar-13,20 cm,433 cm,170 cm
22-Mar-13,25 cm,458 cm,175 cm
23-Mar-13,8 cm,466 cm,150 cm
27-Mar-13,3 cm,469 cm,168 cm
30-Mar-13,8 cm,477 cm,173 cm
5-Apr-13,3 cm,480 cm,145 cm
6-Apr-13,18 cm,498 cm,155 cm
7-Apr-13,8 cm,506 cm,155 cm
4-Oct-13,10 cm,516 cm,69 cm
1-Dec-13,3 cm,519 cm,56 cm
2-Dec-13,25 cm,544 cm,71 cm
3-Dec-13,25 cm,569 cm,97 cm
4-Dec-13,3 cm,572 cm,97 cm
7-Dec-13,3 cm,575 cm,86 cm
8-Dec-13,3 cm,578 cm,86 cm
9-Dec-13,5 cm,583 cm,86 cm
10-Dec-13,5 cm,588 cm,91 cm
11-Dec-13,8 cm,596 cm,89 cm
14-Dec-13,3 cm,599 cm,81 cm
15-Dec-13,5 cm,604 cm,84 cm
19-Dec-13,3 cm,607 cm,81 cm
21-Dec-13,13 cm,620 cm,81 cm
22-Dec-13,15 cm,635 cm,89 cm
23-Dec-13,13 cm,648 cm,89 cm
24-Dec-13,41 cm,689 cm,89 cm
25-Dec-13,41 cm,730 cm,89 cm
31-Dec-13,5 cm,735 cm,104 cm
1-Jan-12,3 cm,3 cm,114 cm
9-Jan-12,3 cm,6 cm,89 cm
11-Jan-12,15 cm,21 cm,99 cm
16-Jan-12,3 cm,24 cm,91 cm
17-Jan-12,3 cm,27 cm,91 cm
18-Jan-12,3 cm,30 cm,91 cm
19-Jan-12,30 cm,60 cm,117 cm
20-Jan-12,64 cm,124 cm,157 cm
21-Jan-12,10 cm,134 cm,160 cm
22-Jan-12,38 cm,172 cm,183 cm
23-Jan-12,13 cm,185 cm,178 cm
24-Jan-12,13 cm,198 cm,178 cm
26-Jan-12,10 cm,208 cm,178 cm
27-Jan-12,20 cm,228 cm,188 cm
31-Jan-12,3 cm,231 cm,170 cm
2-Feb-12,5 cm,236 cm,165 cm
3-Feb-12,3 cm,239 cm,168 cm
9-Feb-12,3 cm,242 cm,157 cm
10-Feb-12,5 cm,247 cm,157 cm
11-Feb-12,8 cm,255 cm,160 cm
12-Feb-12,10 cm,265 cm,168 cm
13-Feb-12,5 cm,270 cm,168 cm
14-Feb-12,5 cm,275 cm,168 cm
15-Feb-12,15 cm,290 cm,173 cm
17-Feb-12,8 cm,298 cm,168 cm
18-Feb-12,13 cm,311 cm,173 cm
19-Feb-12,15 cm,326 cm,180 cm
20-Feb-12,3 cm,329 cm,173 cm
21-Feb-12,30 cm,359 cm,193 cm
22-Feb-12,36 cm,395 cm,206 cm
23-Feb-12,18 cm,413 cm,198 cm
24-Feb-12,3 cm,416 cm,198 cm
26-Feb-12,28 cm,444 cm,208 cm
27-Feb-12,3 cm,447 cm,201 cm
28-Feb-12,5 cm,452 cm,198 cm
29-Feb-12,8 cm,460 cm,198 cm
1-Mar-12,28 cm,488 cm,216 cm
2-Mar-12,13 cm,501 cm,221 cm
3-Mar-12,15 cm,516 cm,221 cm
4-Mar-12,13 cm,529 cm,226 cm
7-Mar-12,18 cm,547 cm,218 cm
8-Mar-12,18 cm,565 cm,216 cm
12-Mar-12,10 cm,575 cm,201 cm
14-Mar-12,8 cm,583 cm,196 cm
15-Mar-12,10 cm,593 cm,208 cm
16-Mar-12,5 cm,598 cm,203 cm
17-Mar-12,15 cm,613 cm,206 cm
18-Mar-12,3 cm,616 cm,201 cm
19-Mar-12,23 cm,639 cm,208 cm
20-Mar-12,23 cm,662 cm,224 cm
21-Mar-12,3 cm,665 cm,213 cm
27-Mar-12,10 cm,675 cm,190 cm
29-Mar-12,8 cm,683 cm,188 cm
30-Mar-12,5 cm,688 cm,190 cm
31-Mar-12,10 cm,698 cm,185 cm
2-Apr-12,3 cm,701 cm,178 cm
6-Apr-12,10 cm,711 cm,175 cm
7-Apr-12,13 cm,724 cm,183 cm
17-Oct-12,3 cm,727 cm,0 cm
24-Oct-12,5 cm,732 cm,3 cm
26-Oct-12,28 cm,760 cm,23 cm
12-Nov-12,3 cm,763 cm,23 cm
14-Nov-12,3 cm,766 cm,0 cm
