Date,24 hr New Snow,Season Snowfall Total,Base Depth
4-Dec-15,6 cm,416 cm,89 cm
5-Dec-15,27 cm,443 cm,98 cm
6-Dec-15,28 cm,471 cm,126 cm
7-Dec-15,22 cm,493 cm,140 cm
8-Dec-15,19 cm,512 cm,140 cm
9-Dec-15,9 cm,521 cm,153 cm
10-Dec-15,20 cm,541 cm,144 cm
11-Dec-15,19 cm,560 cm,169 cm
13-Dec-15,42 cm,602 cm,189 cm
14-Dec-15,6 cm,608 cm,180 cm
15-Dec-15,2 cm,610 cm,172 cm
16-Dec-15,1 cm,611 cm,169 cm
17-Dec-15,2 cm,613 cm,162 cm
18-Dec-15,19 cm,632 cm,175 cm
19-Dec-15,15 cm,647 cm,183 cm
20-Dec-15,32 cm,679 cm,204 cm
23-Dec-15,5 cm,684 cm,190 cm
24-Dec-15,15 cm,699 cm,195 cm
26-Dec-15,2 cm,701 cm,184 cm
27-Dec-15,15 cm,716 cm,184 cm
28-Dec-15,1 cm,717 cm,184 cm
2-Jan-14,3 cm,3 cm,92 cm
3-Jan-14,24 cm,27 cm,116 cm
8-Jan-14,1 cm,28 cm,106 cm
9-Jan-14,6 cm,34 cm,115 cm
10-Jan-14,6 cm,40 cm,120 cm
11-Jan-14,63 cm,103 cm,162 cm
12-Jan-14,5 cm,108 cm,169 cm
30-Jan-14,3 cm,111 cm,129 cm
10-Feb-14,11 cm,122 cm,125 cm
11-Feb-14,4 cm,126 cm,136 cm
12-Feb-14,35 cm,161 cm,174 cm
13-Feb-14,12 cm,173 cm,178 cm
14-Feb-14,7 cm,180 cm,178 cm
15-Feb-14,1 cm,181 cm,176 cm
16-Feb-14,30 cm,211 cm,200 cm
17-Feb-14,21 cm,232 cm,210 cm
18-Feb-14,18 cm,250 cm,215 cm
19-Feb-14,11 cm,261 cm,230 cm
20-Feb-14,10 cm,271 cm,232 cm
21-Feb-14,2 cm,273 cm,232 cm
22-Feb-14,1 cm,274 cm,219 cm
23-Feb-14,2 cm,276 cm,216 cm
24-Feb-14,18 cm,294 cm,235 cm
25-Feb-14,4 cm,298 cm,242 cm
2-Mar-14,24 cm,322 cm,214 cm
3-Mar-14,3 cm,325 cm,226 cm
4-Mar-14,2 cm,327 cm,227 cm
5-Mar-14,5 cm,332 cm,222 cm
6-Mar-14,16 cm,348 cm,241 cm
8-Mar-14,18 cm,366 cm,232 cm
9-Mar-14,25 cm,391 cm,256 cm
13-Mar-14,1 cm,392 cm,238 cm
14-Mar-14,6 cm,398 cm,244 cm
15-Mar-14,1 cm,399 cm,242 cm
16-Mar-14,23 cm,422 cm,262 cm
17-Mar-14,10 cm,432 cm,262 cm
19-Mar-14,3 cm,435 cm,261 cm
20-Mar-14,1 cm,436 cm,260 cm
21-Mar-14,1 cm,437 cm,260 cm
22-Mar-14,2 cm,439 cm,254 cm
25-Mar-14,5 cm,444 cm,245 cm
26-Mar-14,32 cm,476 cm,277 cm
28-Mar-14,1 cm,477 cm,266 cm
29-Mar-14,30 cm,507 cm,286 cm
30-Mar-14,19 cm,526 cm,298 cm
4-Apr-14,12 cm,538 cm,282 cm
6-Apr-14,4 cm,542 cm,274 cm
7-Apr-14,3 cm,545 cm,276 cm
8-Apr-14,1 cm,546 cm,258 cm
9-Apr-14,1 cm,547 cm,250 cm
16-Apr-14,6 cm,553 cm,234 cm
17-Apr-14,6 cm,559 cm,242 cm
18-Apr-14,5 cm,564 cm,243 cm
20-Apr-14,3 cm,567 cm,245 cm
22-Apr-14,4 cm,571 cm,198 cm
23-Apr-14,3 cm,574 cm,196 cm
24-Apr-14,6 cm,580 cm,199 cm
25-Apr-14,6 cm,586 cm,193 cm
27-Apr-14,11 cm,597 cm,192 cm
4-May-14,6 cm,603 cm,182 cm
9-May-14,2 cm,605 cm,172 cm
10-May-14,4 cm,609 cm,168 cm
23-Nov-14,13 cm,622 cm,0 cm
24-Nov-14,9 cm,631 cm,0 cm
25-Nov-14,16 cm,647 cm,0 cm
26-Nov-14,21 cm,668 cm,0 cm
28-Nov-14,1 cm,669 cm,0 cm
29-Nov-14,6 cm,675 cm,0 cm
2-Dec-14,1 cm,676 cm,0 cm
5-Dec-14,7 cm,683 cm,0 cm
6-Dec-14,5 cm,688 cm,20 cm
8-Dec-14,2 cm,690 cm,20 cm
9-Dec-14,9 cm,699 cm,20 cm
10-Dec-14,8 cm,707 cm,15 cm
11-Dec-14,10 cm,717 cm,15 cm
12-Dec-14,24 cm,741 cm,15 cm
17-Dec-14,4 cm,745 cm,15 cm
18-Dec-14,2 cm,747 cm,15 cm
19-Dec-14,14 cm,761 cm,15 cm
20-Dec-14,14 cm,775 cm,15 cm
21-Dec-14,24 cm,799 cm,15 cm
22-Dec-14,8 cm,807 cm,15 cm
23-Dec-14,5 cm,812 cm,15 cm
24-Dec-14,4 cm,816 cm,15 cm
27-Dec-14,2 cm,818 cm,15 cm
28-Dec-14,2 cm,820 cm,15 cm
4-Jan-13,2 cm,2 cm,100 cm
5-Jan-13,1 cm,3 cm,100 cm
7-Jan-13,11 cm,14 cm,100 cm
8-Jan-13,6 cm,20 cm,100 cm
9-Jan-13,36 cm,56 cm,100 cm
10-Jan-13,16 cm,72 cm,100 cm
25-Jan-13,11 cm,83 cm,176 cm
27-Jan-13,3 cm,86 cm,190 cm
28-Jan-13,1 cm,87 cm,189 cm
5-Feb-13,11 cm,98 cm,186 cm
7-Feb-13,19 cm,117 cm,192 cm
8-Feb-13,1 cm,118 cm,198 cm
14-Feb-13,1 cm,119 cm,185 cm
15-Feb-13,1 cm,120 cm,186 cm
17-Feb-13,1 cm,121 cm,186 cm
19-Feb-13,2 cm,123 cm,188 cm
22-Feb-13,5 cm,128 cm,188 cm
27-Feb-13,10 cm,138 cm,220 cm
1-Mar-13,40 cm,178 cm,245 cm
2-Mar-13,48 cm,226 cm,275 cm
3-Mar-13,16 cm,242 cm,285 cm
7-Mar-13,4 cm,246 cm,255 cm
8-Mar-13,1 cm,247 cm,255 cm
17-Mar-13,10 cm,257 cm,260 cm
18-Mar-13,5 cm,262 cm,262 cm
20-Mar-13,12 cm,274 cm,268 cm
5-Apr-13,2 cm,276 cm,228 cm
6-Apr-13,8 cm,284 cm,228 cm
10-Apr-13,15 cm,299 cm,242 cm
11-Apr-13,1 cm,300 cm,242 cm
21-Apr-13,1 cm,301 cm,238 cm
22-Apr-13,2 cm,303 cm,196 cm
29-Apr-13,3 cm,306 cm,191 cm
23-May-13,8 cm,314 cm,122 cm
16-Nov-13,5 cm,319 cm,60 cm
17-Nov-13,10 cm,329 cm,61 cm
18-Nov-13,3 cm,332 cm,67 cm
19-Nov-13,10 cm,342 cm,76 cm
20-Nov-13,2 cm,344 cm,76 cm
30-Nov-13,7 cm,351 cm,67 cm
1-Dec-13,4 cm,355 cm,70 cm
2-Dec-13,19 cm,374 cm,80 cm
9-Dec-13,1 cm,375 cm,79 cm
10-Dec-13,1 cm,376 cm,79 cm
