,REGION_ID,STATION_ID,NAME,DATE,SNOW_DEPT,MAX_TEMPERATURE,MIN_TEMPERATURE,SNOW_FALL
4483,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/10/2000,,48,26,
4484,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/11/2000,,52,28,
4485,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/12/2000,,54,35,
4486,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/13/2000,,48,31,
4487,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/14/2000,,45,27,
4488,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/15/2000,,45,27,
4489,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/16/2000,,45,28,
4490,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/17/2000,,53,27,
4491,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/18/2000,,51,31,
4492,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/19/2000,,51,30,
4493,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/20/2000,,52,30,
4494,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/21/2000,,55,34,
4495,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/22/2000,,46,30,
4496,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/23/2000,,37,26,
4497,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/24/2000,,38,20,
4498,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/25/2000,,44,23,
4499,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/26/2000,,51,22,
4500,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/27/2000,,65,29,
4501,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/28/2000,,43,24,
4502,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/29/2000,,38,22,
4503,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",4/30/2000,,57,23,
4504,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/1/2000,,65,35,
4505,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/2/2000,,45,31,
4506,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/3/2000,,56,30,
4507,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/4/2000,,40,31,
4508,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/5/2000,,46,28,
4509,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/6/2000,,42,25,
4510,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/7/2000,,47,25,
4511,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/8/2000,,49,25,
4512,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/9/2000,,40,26,
4513,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/10/2000,,36,21,
4514,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/11/2000,,33,22,
4515,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/12/2000,,38,24,
4516,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/13/2000,,49,23,
4517,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/14/2000,,51,30,
4518,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/15/2000,,55,31,
4519,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/16/2000,,51,33,
4520,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/17/2000,,53,36,
4521,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/18/2000,,54,33,
4522,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/19/2000,,45,33,
4523,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/20/2000,,54,33,
4524,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/21/2000,,58,41,
4525,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/22/2000,,58,39,
4526,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/23/2000,,49,31,
4527,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/24/2000,,53,29,
4528,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/25/2000,,57,34,
4529,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/26/2000,,47,33,
4530,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/27/2000,,54,33,
4531,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/28/2000,,49,35,
4532,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/29/2000,,48,31,
4533,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/30/2000,,47,30,
4534,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",5/31/2000,,37,30,
4535,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/1/2000,,54,25,
4536,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/2/2000,,65,31,
4537,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/3/2000,,60,36,
4538,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/4/2000,,68,32,
4539,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/5/2000,,73,42,
4540,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/6/2000,,66,40,
4541,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/7/2000,,77,39,
4542,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/8/2000,,69,36,
4543,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/9/2000,,48,33,
4544,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/10/2000,,52,31,
4545,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/11/2000,,45,28,
4546,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/12/2000,,44,38,
4547,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/13/2000,,49,36,
4548,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/14/2000,,57,43,
4549,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/15/2000,,46,33,
4550,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/16/2000,,51,33,
4551,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/17/2000,,59,31,
4552,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/18/2000,,61,36,
4553,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/19/2000,,47,36,
4554,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/20/2000,,54,37,
4555,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/21/2000,,64,36,
4556,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/22/2000,,64,40,
4557,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/23/2000,,63,36,
4558,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/24/2000,,62,38,
4559,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/25/2000,,58,34,
4560,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/26/2000,,62,35,
4561,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/27/2000,,64,35,
4562,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/28/2000,,68,37,
4563,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/29/2000,,68,40,
4564,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",6/30/2000,,73,42,
4565,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/1/2000,,69,44,
4566,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/2/2000,,62,41,
4567,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/3/2000,,54,35,
4568,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/4/2000,,55,31,
4569,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/5/2000,,57,32,
4570,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/6/2000,,55,36,
4571,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/7/2000,,61,34,
4572,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/8/2000,,69,39,
4573,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/9/2000,,65,39,
4574,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/10/2000,,65,38,
4575,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/11/2000,,69,39,
4576,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/12/2000,,77,43,
4577,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/13/2000,,78,49,
4578,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/14/2000,,76,44,
4579,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/15/2000,,61,39,
4580,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/16/2000,,71,36,
4581,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/17/2000,,70,44,
4582,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/18/2000,,66,46,
4583,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/19/2000,,65,43,
4584,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/20/2000,,69,43,
4585,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/21/2000,,76,43,
4586,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/22/2000,,83,47,
4587,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/23/2000,,70,43,
4588,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/24/2000,,69,38,
4589,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/25/2000,,75,41,
4590,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/26/2000,,76,43,
4591,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/27/2000,,74,45,
4592,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/28/2000,,76,44,
4593,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/29/2000,,80,46,
4594,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/30/2000,,87,50,
4595,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",7/31/2000,,83,55,
4596,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/1/2000,,77,49,
4597,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/2/2000,,76,46,
4598,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/3/2000,,72,46,
4599,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/4/2000,,71,49,
4600,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/5/2000,,67,43,
4601,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/6/2000,,73,49,
4602,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/7/2000,,75,48,
4603,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/8/2000,,78,48,
4604,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/9/2000,,83,55,
4605,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/10/2000,,78,49,
4606,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/11/2000,,67,47,
4607,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/12/2000,,73,45,
4608,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/13/2000,,69,45,
4609,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/14/2000,,70,41,
4610,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/15/2000,,70,45,
4611,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/16/2000,,69,43,
4612,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/17/2000,,75,45,
4613,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/18/2000,,69,45,
4614,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/19/2000,,63,40,
4615,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/20/2000,,60,39,
4616,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/21/2000,,66,38,
4617,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/22/2000,,72,43,
4618,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/23/2000,,80,49,
4619,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/24/2000,,65,47,
4620,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/25/2000,,75,47,
4621,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/26/2000,,68,44,
4622,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/27/2000,,63,40,
4623,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/28/2000,,64,34,
4624,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/29/2000,,68,42,
4625,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/30/2000,,63,44,
4626,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",8/31/2000,,65,42,
4627,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/1/2000,,58,40,
4628,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/2/2000,,47,33,
4629,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/3/2000,,50,31,
4630,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/4/2000,,57,36,
4631,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/5/2000,,49,38,
4632,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/6/2000,,46,36,
4633,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/7/2000,,60,35,
4634,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/8/2000,,58,35,
4635,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/9/2000,,46,33,
4636,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/10/2000,,41,40,
4637,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/11/2000,,48,38,
4638,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/12/2000,,64,37,
4639,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/13/2000,,68,42,
4640,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/14/2000,,76,43,
4641,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/15/2000,,78,49,
4642,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/16/2000,,76,43,
4643,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/17/2000,,66,40,
4644,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/18/2000,,52,43,
4645,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/19/2000,,53,33,
4646,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/20/2000,,50,28,
4647,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/21/2000,,34,18,
4648,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/22/2000,,26,15,
4649,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/23/2000,,40,10,
4650,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/24/2000,,54,21,
4651,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/25/2000,,57,29,
4652,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/26/2000,,59,30,
4653,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/27/2000,,64,31,
4654,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/28/2000,,64,36,
4655,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/29/2000,,51,36,
4656,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",9/30/2000,,45,41,
4657,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/1/2000,,44,37,
4658,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/2/2000,,45,29,
4659,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/3/2000,,44,23,
4660,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/4/2000,,37,25,
4661,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/5/2000,,41,23,
4662,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/6/2000,,49,20,
4663,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/7/2000,,58,22,
4664,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/8/2000,,62,33,
4665,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/9/2000,,65,35,
4666,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/10/2000,,56,41,
4667,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/11/2000,,42,31,
4668,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/12/2000,,34,31,
4669,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/13/2000,,34,31,
4670,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/14/2000,,38,30,
4671,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/15/2000,,42,26,
4672,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/16/2000,,47,29,
4673,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/17/2000,,56,31,
4674,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/18/2000,,53,34,
4675,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/19/2000,,43,31,
4676,3,USS0013C03S,"SKALKAHO SUMMIT, MT US",10/20/2000,,51,33,
