Resort,Zip,Years,Visits
Showdown,59465,44656,"38,186"
Showdown,59465,44687,"48,383"
Showdown,59465,44719,"41,369"
Showdown,59465,44750,"43,400"
Showdown,59465,44782,"41,020"
Showdown,59465,44814,"47,160"
Showdown,59465,44845,"42,615"
Showdown,59465,44877,"44,619"
Showdown,59465,44908,"43,657"
Showdown,59465,13-14,"44,992"
Showdown,59465,14-15,"40,207"
Showdown,59465,15-16,"42,141"
Showdown,59465,16-17,"31,931"
Showdown,59465,17-18,"43,246"
Showdown,59465,18-19,"45,173"
Showdown,59465,19-20,"39,347"
Showdown,59465,20-21,"46,014"
Snowbowl,59808,88-89,"50,009"
Snowbowl,59808,89-90,"37,200"
Snowbowl,59808,90-91,"46,672"
Snowbowl,59808,91-92,"47,121"
Snowbowl,59808,92-93,"55,106"
Snowbowl,59808,93-94,"44,608"
Snowbowl,59808,94-95,"45,900"
Snowbowl,59808,95-96,"47,421"
Snowbowl,59808,96-97,"62,347"
Snowbowl,59808,97-98,"47,059"
Snowbowl,59808,98-99,"66,060"
Snowbowl,59808,99-00,"64,768"
Snowbowl,59808,00-01,"58,050"
Snowbowl,59808,44563,"68,832"
Snowbowl,59808,44595,"54,027"
Snowbowl,59808,44624,"65,065"
Snowbowl,59808,44656,"38,950"
Snowbowl,59808,44687,"61,933"
Snowbowl,59808,44719,"56,600"
Snowbowl,59808,44750,"66,548"
Snowbowl,59808,44782,"59,608"
Snowbowl,59808,44814,"50,986"
Snowbowl,59808,44845,"74,050"
Snowbowl,59808,44877,"63,854"
Snowbowl,59808,44908,"61,882"
Snowbowl,59808,13-14,"61,970"
Snowbowl,59808,14-15,"50,719"
Snowbowl,59808,15-16,"56,480"
Snowbowl,59808,16-17,"61,441"
Snowbowl,59808,17-18,"67,050"
Snowbowl,59808,18-19,"61,442"
Snowbowl,59808,19-20,"54,910"
Snowbowl,59808,20-21,"60,984"
Teton Pass,59422,88-89,0
Teton Pass,59422,89-90,0
Teton Pass,59422,90-91,0
Teton Pass,59422,91-92,"6,153"
Teton Pass,59422,92-93,"7,630"
Teton Pass,59422,93-94,"7,861"
Teton Pass,59422,94-95,"6,066"
Teton Pass,59422,95-96,"4,024"
Teton Pass,59422,96-97,"6,001"
Teton Pass,59422,97-98,"4,093"
Teton Pass,59422,98-99,0
Teton Pass,59422,99-00,"5,931"
Teton Pass,59422,00-01,"6,394"
Teton Pass,59422,44563,"6,643"
Teton Pass,59422,44595,"4,692"
Teton Pass,59422,44624,"7,712"
